Station Index,Date,temp-max,temp-min,temp-avg,wind-max,wind-min,wind-avg,rain-max,rain-min,rain-avg,rh-max,rh-min,rh-avg,Temp-max-lag1,Temp-min-lag1,Temp-avg-lag1,Wind-max-lag1,Wind-min-lag1,Wind-avg-lag1,Rain-max-lag1,Rain-min-lag1,Rain-avg-lag1,Rh-max-lag1,Rh-min-lag1,Rh-avg-lag1,Temp-max-lag2,Temp-min-lag2,Temp-avg-lag2,Wind-max-lag2,Wind-min-lag2,Wind-avg-lag2,Rain-max-lag2,Rain-min-lag2,Rain-avg-lag2,Rh-max-lag2,Rh-min-lag2,Rh-avg-lag2
42807,20-03-2019,32.6,23.7,27.4,11,0,2.333333333,27.2,0,1.4,95,45,75.41666667,32.4,23.1,26.7,7,0,2.541666667,0.2,0,0,90,41,68.75,30.6,19.7,24.5,16,0,2.833333333,3.5,0,0.2,86,38,70.08333333
42807,21-03-2019,35.4,24.2,28.6,6,0,3.458333333,0,0,0,90,34,69.625,32.6,23.7,27.4,11,0,2.333333333,27.2,0,1.4,95,45,75.41666667,32.4,23.1,26.7,7,0,2.541666667,0.2,0,0,90,41,68.75
42807,22-03-2019,34.5,21.4,27.3,9,1,4.666666667,0,0,0,90,45,77.29166667,35.4,24.2,28.6,6,0,3.458333333,0,0,0,90,34,69.625,32.6,23.7,27.4,11,0,2.333333333,27.2,0,1.4,95,45,75.41666667
42807,23-03-2019,33.8,22.8,27.2,6,0,1.583333333,0,0,0,91,21,59.33333333,34.5,21.4,27.3,9,1,4.666666667,0,0,0,90,45,77.29166667,35.4,24.2,28.6,6,0,3.458333333,0,0,0,90,34,69.625
42807,24-03-2019,33.5,22.1,26.8,7,0,2.291666667,0,0,0,83,19,47,33.8,22.8,27.2,6,0,1.583333333,0,0,0,91,21,59.33333333,34.5,21.4,27.3,9,1,4.666666667,0,0,0,90,45,77.29166667
42807,25-03-2019,35.5,20.9,27.7,5,0,1.25,13.6,0,0.6,91,22,57.58333333,33.5,22.1,26.8,7,0,2.291666667,0,0,0,83,19,47,33.8,22.8,27.2,6,0,1.583333333,0,0,0,91,21,59.33333333
42807,26-03-2019,35,23.9,28,17,0,6.125,0,0,0,97,34,59.66666667,35.5,20.9,27.7,5,0,1.25,13.6,0,0.6,91,22,57.58333333,33.5,22.1,26.8,7,0,2.291666667,0,0,0,83,19,47
42807,27-03-2019,32.3,22.2,27.1,6,0,1.708333333,0,0,0,76,41,58.875,35,23.9,28,17,0,6.125,0,0,0,97,34,59.66666667,35.5,20.9,27.7,5,0,1.25,13.6,0,0.6,91,22,57.58333333
42807,28-03-2019,33.5,24.2,28.5,8,0,3.083333333,0,0,0,92,47,71.5,32.3,22.2,27.1,6,0,1.708333333,0,0,0,76,41,58.875,35,23.9,28,17,0,6.125,0,0,0,97,34,59.66666667
42807,29-03-2019,32.8,24.8,28.4,12,1,6.125,0,0,0,93,48,74.54166667,33.5,24.2,28.5,8,0,3.083333333,0,0,0,92,47,71.5,32.3,22.2,27.1,6,0,1.708333333,0,0,0,76,41,58.875
42807,30-03-2019,33.4,25.3,29,7,2,4.041666667,0,0,0,93,51,76.375,32.8,24.8,28.4,12,1,6.125,0,0,0,93,48,74.54166667,33.5,24.2,28.5,8,0,3.083333333,0,0,0,92,47,71.5
42807,31-03-2019,33.7,26.1,29.3,9,1,5.791666667,0,0,0,93,58,78.83333333,33.4,25.3,29,7,2,4.041666667,0,0,0,93,51,76.375,32.8,24.8,28.4,12,1,6.125,0,0,0,93,48,74.54166667
42807,01-04-2019,32,24.2,28.2,12,4,7.916666667,0,0,0,89,57,73.70833333,33.7,26.1,29.3,9,1,5.791666667,0,0,0,93,58,78.83333333,33.4,25.3,29,7,2,4.041666667,0,0,0,93,51,76.375
42807,02-04-2019,34.2,25.7,29.4,12,0,4.666666667,0,0,0,90,54,76.95833333,32,24.2,28.2,12,4,7.916666667,0,0,0,89,57,73.70833333,33.7,26.1,29.3,9,1,5.791666667,0,0,0,93,58,78.83333333
42807,03-04-2019,35.2,26.1,29.5,10,0,5.5,0,0,0,93,54,78,34.2,25.7,29.4,12,0,4.666666667,0,0,0,90,54,76.95833333,32,24.2,28.2,12,4,7.916666667,0,0,0,89,57,73.70833333
42807,04-04-2019,31.7,26.3,28.8,9,0,5.958333333,0,0,0,89,63,77.66666667,35.2,26.1,29.5,10,0,5.5,0,0,0,93,54,78,34.2,25.7,29.4,12,0,4.666666667,0,0,0,90,54,76.95833333
42807,05-04-2019,32.6,21.3,28.5,25,0,4.833333333,0,0,0,90,37,76.41666667,31.7,26.3,28.8,9,0,5.958333333,0,0,0,89,63,77.66666667,35.2,26.1,29.5,10,0,5.5,0,0,0,93,54,78
42807,06-04-2019,32.9,19.6,26.5,11,0,3.666666667,0,0,0,91,56,73.75,32.6,21.3,28.5,25,0,4.833333333,0,0,0,90,37,76.41666667,31.7,26.3,28.8,9,0,5.958333333,0,0,0,89,63,77.66666667
42807,07-04-2019,32,20.3,26,7,0,3.416666667,0,0,0,90,47,72.29166667,32.9,19.6,26.5,11,0,3.666666667,0,0,0,91,56,73.75,32.6,21.3,28.5,25,0,4.833333333,0,0,0,90,37,76.41666667
42807,08-04-2019,31.9,25,28.1,17,0,5.333333333,7.6,0,0.3,89,43,63.70833333,32,20.3,26,7,0,3.416666667,0,0,0,90,47,72.29166667,32.9,19.6,26.5,11,0,3.666666667,0,0,0,91,56,73.75
42807,09-04-2019,32.9,20.4,26.9,20,0,4.958333333,10.8,0,1,90,61,75.58333333,31.9,25,28.1,17,0,5.333333333,7.6,0,0.3,89,43,63.70833333,32,20.3,26,7,0,3.416666667,0,0,0,90,47,72.29166667
42807,10-04-2019,31.5,20.2,26.4,13,0,5.458333333,0,0,0,89,65,79.16666667,32.9,20.4,26.9,20,0,4.958333333,10.8,0,1,90,61,75.58333333,31.9,25,28.1,17,0,5.333333333,7.6,0,0.3,89,43,63.70833333
42807,11-04-2019,33.3,26.3,28.7,8,1,4.041666667,0,0,0,93,61,78.79166667,31.5,20.2,26.4,13,0,5.458333333,0,0,0,89,65,79.16666667,32.9,20.4,26.9,20,0,4.958333333,10.8,0,1,90,61,75.58333333
42807,12-04-2019,34.5,26,29.6,6,0,2.333333333,36,0,2.5,92,54,76.41666667,33.3,26.3,28.7,8,1,4.041666667,0,0,0,93,61,78.79166667,31.5,20.2,26.4,13,0,5.458333333,0,0,0,89,65,79.16666667
42807,13-04-2019,35.6,25.9,29.7,12,0,3.916666667,0,0,0,91,42,70.83333333,34.5,26,29.6,6,0,2.333333333,36,0,2.5,92,54,76.41666667,33.3,26.3,28.7,8,1,4.041666667,0,0,0,93,61,78.79166667
42807,14-04-2019,35.2,27.5,30.4,11,2,5.125,0,0,0,88,61,77.04166667,35.6,25.9,29.7,12,0,3.916666667,0,0,0,91,42,70.83333333,34.5,26,29.6,6,0,2.333333333,36,0,2.5,92,54,76.41666667
